iter	MultiClass
0	1.697937482
1	1.511906211
2	1.358236753
3	1.241304355
4	1.141908767
5	1.0594213
6	0.9862253335
7	0.9243380106
8	0.8688660736
9	0.8228451532
10	0.7825610569
11	0.7409353388
12	0.7103747118
13	0.6746128792
14	0.6467320158
15	0.6199351462
16	0.5930428021
17	0.5709473266
18	0.5495040339
19	0.5292977035
20	0.5124085106
21	0.4943545382
22	0.4812883944
23	0.4643037427
24	0.4488044509
25	0.4364098719
26	0.4243836682
27	0.4116216402
28	0.4004406372
29	0.3917828427
30	0.3823618368
31	0.3742157978
32	0.3649960653
33	0.3552377926
34	0.3474105027
35	0.3406904084
36	0.3335298995
37	0.3290141094
38	0.3227675885
39	0.318405368
40	0.3133751329
41	0.3076739606
42	0.3043341015
43	0.3002096365
44	0.2956682495
45	0.2915742289
46	0.2866591667
47	0.2823150315
48	0.2777360382
49	0.2735403181
50	0.2696545053
51	0.266565782
52	0.263451292
53	0.2605681109
54	0.2564891063
55	0.254236327
56	0.2512290685
57	0.2478723459
58	0.2449597643
59	0.242640577
60	0.2421181437
61	0.2401329704
62	0.2385132826
63	0.2363476582
64	0.2339844482
65	0.2314913622
66	0.2294178175
67	0.2273596368
68	0.2252776594
69	0.2230420762
70	0.2217442825
71	0.2197585991
72	0.2183424016
73	0.2163611278
74	0.2147793464
75	0.213708044
76	0.2122001184
77	0.2102074767
78	0.2089942706
79	0.2073322607
80	0.2056469593
81	0.2041753983
82	0.2027065293
83	0.2016060946
84	0.199772086
85	0.198623968
86	0.1976392938
87	0.1965574918
88	0.1946105749
89	0.1937925886
90	0.192907672
91	0.1922355786
92	0.190708633
93	0.1892724504
94	0.1885927046
95	0.1871960005
96	0.1865027194
97	0.1851073476
98	0.1840976983
99	0.1831660858
100	0.1822675976
101	0.1807309014
102	0.1800233187
103	0.1790909345
104	0.1778176975
105	0.1766727017
106	0.1756336944
107	0.1743867188
108	0.1736356279
109	0.1726197723
110	0.1714564104
111	0.1709812108
112	0.170485791
113	0.1698721238
114	0.1690275396
115	0.1685693063
116	0.1678439771
117	0.1662585443
118	0.1646001034
119	0.1637529108
120	0.1623143263
121	0.1616899112
122	0.1606993445
123	0.1602909498
124	0.1591796383
125	0.1588585001
126	0.158170268
127	0.1578409748
128	0.1576509822
129	0.156835687
130	0.1557675378
131	0.1548534176
132	0.1538765929
133	0.153204542
134	0.1523423239
135	0.1517374385
136	0.1505978572
137	0.1499224602
138	0.1495846062
139	0.148738777
140	0.1477379165
141	0.147150237
142	0.1466513454
143	0.1461383967
144	0.1452805004
145	0.1448201952
146	0.1437713001
147	0.1426217603
148	0.1418390911
149	0.1414297025
150	0.1411230891
151	0.1409181429
152	0.1406705861
153	0.1400832501
154	0.1397528742
155	0.1394292368
156	0.1387811015
157	0.1381522081
158	0.1375840542
159	0.1369576387
160	0.1365072164
161	0.1360272103
162	0.1354930674
163	0.1352165927
164	0.1346864395
165	0.1341447765
166	0.1330502805
167	0.1324700136
168	0.1319677019
169	0.1313793623
170	0.1305352916
171	0.1301451498
172	0.1297666711
173	0.1290213528
174	0.1285470878
175	0.127996568
176	0.1273185113
177	0.1269397643
178	0.1267159226
179	0.1259763626
180	0.1253996129
181	0.1249864436
182	0.1242517357
183	0.1239452072
184	0.1236449032
185	0.1235182864
186	0.1233854286
187	0.1231984322
188	0.1226574735
189	0.122162263
190	0.121872172
191	0.121334652
192	0.1208212774
193	0.1204935212
194	0.1199037703
195	0.1192983183
196	0.1188284004
197	0.1183302211
198	0.1175040314
199	0.1173490374
200	0.1165861887
201	0.1163118819
202	0.1157584736
203	0.1154851234
204	0.1149743533
205	0.1147011565
206	0.1141603791
207	0.1140269103
208	0.1138535302
209	0.1135933168
210	0.1130856086
211	0.1124886575
212	0.1122553703
213	0.1117366015
214	0.1113562198
215	0.1109026438
216	0.1105157352
217	0.1102912366
218	0.1099503249
219	0.1095957394
220	0.1093632607
221	0.1090023715
222	0.1087121799
223	0.1084308448
224	0.108044148
225	0.1075067679
226	0.1068543079
227	0.1062939247
228	0.105814126
229	0.1054985526
230	0.1052293997
231	0.1048900392
232	0.1044102676
233	0.1042323256
234	0.1040372854
235	0.1038881186
236	0.1036443013
237	0.103229503
238	0.1028697501
239	0.1026688819
240	0.1025795495
241	0.1020557355
242	0.1018150557
243	0.1017464533
244	0.1012897442
245	0.1007381721
246	0.1006032568
247	0.1003210948
248	0.09995275136
249	0.09958898981
250	0.09932333274
251	0.09919404412
252	0.09904168241
253	0.09856053791
254	0.09804603849
255	0.09785492139
256	0.09757004062
257	0.09723652592
258	0.0967113239
259	0.0964865768
260	0.0962244409
261	0.09597141966
262	0.09557578284
263	0.09526133039
264	0.09468926015
265	0.09454119813
266	0.09417062811
267	0.09404920976
268	0.09378260445
269	0.09339526856
270	0.09328502251
271	0.09316378636
272	0.09287751404
273	0.09276676714
274	0.09233771844
275	0.09189604905
276	0.09177373829
277	0.09160856636
278	0.09146145478
279	0.09125327723
280	0.0911702933
281	0.0907402897
282	0.09025916414
283	0.08995203907
284	0.08971476645
285	0.08950582621
286	0.08905232013
287	0.08889222992
288	0.08867154956
289	0.08859820184
290	0.08843000774
291	0.08787614812
292	0.08764894003
293	0.08735095758
294	0.08707835166
295	0.08671458541
296	0.08652142036
297	0.08637270312
298	0.08612464016
299	0.08596457725
300	0.0855887955
301	0.08552772722
302	0.08513606683
303	0.08493331486
304	0.08477023312
305	0.08465632682
306	0.08440233968
307	0.08408788955
308	0.08400247104
309	0.083770276
310	0.0836584886
311	0.08332891008
312	0.08324021967
313	0.08317853491
314	0.08289756241
315	0.08264028182
