iter	Passed	Remaining
0	49	49840
1	52	26259
2	55	18484
3	58	14505
4	60	12130
5	63	10566
6	66	9474
7	69	8631
8	72	7978
9	75	7434
10	78	7018
11	81	6714
12	85	6461
13	88	6206
14	91	5977
15	93	5775
16	96	5607
17	99	5444
18	102	5303
19	105	5185
20	108	5067
21	111	4963
22	114	4861
23	117	4777
24	120	4695
25	123	4625
26	126	4556
27	137	4769
28	140	4696
29	143	4645
30	146	4580
31	149	4517
32	152	4458
33	154	4403
34	157	4342
35	160	4292
36	163	4245
37	165	4200
38	168	4154
39	171	4123
40	176	4119
41	178	4081
42	181	4050
43	184	4015
44	187	3982
45	190	3946
46	193	3921
47	196	3898
48	199	3871
49	202	3845
50	205	3818
51	208	3792
52	210	3763
53	213	3738
54	216	3713
55	219	3695
56	237	3927
57	240	3904
58	243	3877
59	246	3855
60	249	3839
61	252	3814
62	255	3792
63	257	3770
64	260	3748
65	263	3727
66	266	3706
67	268	3686
68	271	3666
69	274	3649
70	277	3632
71	280	3615
72	283	3598
73	286	3585
74	289	3571
75	292	3559
76	295	3544
77	298	3526
78	301	3511
79	304	3497
80	307	3485
81	310	3471
82	313	3458
83	316	3450
84	319	3439
85	336	3576
86	339	3563
87	342	3548
88	345	3533
89	348	3521
90	351	3507
91	354	3494
92	357	3481
93	359	3466
94	362	3450
95	364	3435
96	367	3421
97	370	3407
98	372	3393
99	375	3378
100	378	3365
101	380	3351
102	383	3339
103	386	3330
104	389	3319
105	393	3317
106	395	3304
107	399	3296
108	402	3286
109	404	3275
110	407	3266
111	410	3257
112	413	3247
113	416	3237
114	434	3344
115	437	3332
116	440	3321
117	442	3310
118	445	3300
119	448	3289
120	451	3278
121	454	3268
122	457	3258
123	460	3252
124	463	3242
125	465	3230
126	468	3218
127	470	3207
128	473	3197
129	476	3187
130	478	3177
131	481	3167
132	484	3159
133	487	3149
134	489	3139
135	492	3128
136	495	3118
137	497	3108
138	500	3099
139	503	3090
140	506	3082
141	508	3075
142	511	3067
143	514	3058
144	529	3123
145	533	3119
146	536	3112
147	539	3103
148	541	3094
149	544	3085
150	547	3076
151	549	3068
152	552	3060
153	555	3050
154	558	3042
155	560	3034
156	563	3027
157	567	3022
158	570	3015
159	573	3009
160	576	3001
161	578	2993
162	581	2983
163	583	2975
164	586	2968
165	589	2961
166	592	2954
167	595	2946
168	597	2939
169	600	2932
170	603	2924
171	605	2916
172	608	2908
173	611	2900
174	613	2893
175	628	2941
176	631	2935
177	633	2926
178	636	2918
179	638	2910
180	641	2903
181	644	2895
182	646	2888
183	649	2880
184	652	2873
185	655	2866
186	657	2860
187	660	2852
188	663	2845
189	665	2838
190	668	2832
191	671	2826
192	674	2818
193	676	2811
194	679	2805
195	682	2797
196	684	2790
197	687	2782
198	689	2775
199	692	2768
200	695	2763
201	698	2758
202	700	2751
203	703	2744
204	705	2737
205	708	2731
206	711	2724
207	728	2773
208	730	2766
209	733	2759
210	736	2752
211	738	2746
212	741	2740
213	744	2734
214	747	2728
215	750	2722
216	752	2715
217	755	2709
218	758	2704
219	761	2700
220	764	2694
221	767	2688
222	770	2685
223	773	2680
224	776	2675
225	779	2671
226	782	2665
227	785	2660
228	788	2655
229	791	2649
230	794	2643
231	796	2638
232	799	2633
233	802	2628
234	806	2624
235	808	2618
236	811	2613
237	824	2640
238	827	2634
239	830	2629
240	833	2623
241	835	2617
242	838	2611
243	841	2606
244	844	2601
245	846	2595
246	849	2590
247	852	2585
248	855	2579
249	857	2573
250	860	2567
251	863	2562
252	865	2556
253	868	2551
254	871	2545
255	874	2540
256	876	2535
257	879	2529
258	882	2523
259	885	2519
260	887	2513
261	890	2508
262	893	2503
263	896	2498
264	898	2492
265	901	2487
266	904	2482
267	906	2476
268	909	2471
269	923	2497
270	926	2492
271	929	2487
272	932	2482
273	935	2478
274	938	2473
275	940	2468
276	943	2463
277	946	2458
278	949	2452
279	951	2447
280	954	2441
281	956	2436
282	959	2431
283	962	2426
284	965	2421
285	967	2415
286	969	2409
287	972	2404
288	975	2399
289	978	2395
290	981	2390
291	984	2386
292	986	2381
293	990	2377
294	993	2374
295	996	2368
296	998	2364
297	1001	2359
298	1004	2354
299	1018	2376
300	1021	2372
301	1024	2367
302	1027	2363
303	1030	2358
304	1033	2354
305	1036	2349
306	1039	2345
307	1041	2340
308	1044	2336
309	1047	2331
310	1050	2327
311	1053	2322
312	1055	2317
313	1058	2312
314	1061	2307
315	1063	2302
316	1066	2298
317	1070	2296
318	1073	2291
319	1076	2286
320	1078	2282
321	1081	2277
322	1084	2273
323	1087	2268
324	1090	2264
325	1093	2260
326	1095	2255
327	1098	2251
328	1101	2246
329	1104	2242
330	1116	2256
331	1119	2251
332	1122	2247
333	1124	2242
334	1127	2238
335	1130	2233
336	1133	2229
337	1136	2225
338	1139	2221
339	1142	2218
340	1145	2214
341	1148	2209
342	1151	2204
343	1154	2200
344	1156	2196
345	1159	2191
346	1162	2187
347	1164	2182
348	1167	2178
349	1170	2174
350	1173	2170
351	1176	2165
352	1179	2161
353	1181	2156
354	1184	2151
355	1187	2147
356	1190	2143
357	1193	2139
358	1196	2135
359	1198	2131
360	1201	2127
361	1215	2142
362	1218	2138
363	1221	2134
364	1224	2129
365	1227	2126
366	1230	2122
367	1233	2117
368	1235	2113
369	1238	2108
370	1241	2104
371	1244	2100
372	1246	2096
373	1249	2091
374	1252	2087
375	1255	2083
376	1257	2078
377	1260	2073
378	1262	2069
379	1265	2064
380	1269	2061
381	1271	2057
382	1274	2053
383	1277	2049
384	1280	2045
385	1282	2040
386	1285	2036
387	1288	2032
388	1291	2028
389	1294	2023
390	1296	2019
391	1299	2015
392	1312	2027
393	1315	2023
394	1318	2019
395	1321	2015
396	1324	2012
397	1327	2007
398	1330	2003
399	1332	1999
400	1335	1995
401	1338	1991
402	1341	1988
403	1344	1983
404	1348	1980
405	1350	1976
406	1353	1972
407	1356	1968
408	1359	1964
409	1362	1960
410	1364	1956
411	1367	1951
412	1370	1947
413	1372	1942
414	1375	1938
415	1378	1934
416	1381	1930
417	1383	1926
418	1386	1922
419	1389	1918
420	1392	1914
421	1394	1910
422	1398	1907
423	1400	1903
424	1412	1911
425	1415	1907
426	1418	1903
427	1421	1899
428	1424	1895
429	1427	1891
430	1429	1887
431	1432	1883
432	1435	1879
433	1437	1875
434	1440	1871
435	1443	1867
436	1446	1863
437	1449	1859
438	1451	1855
439	1454	1851
440	1457	1847
441	1460	1843
442	1463	1839
443	1466	1836
444	1469	1832
445	1472	1828
446	1474	1824
447	1477	1820
448	1480	1816
449	1482	1812
450	1485	1808
451	1488	1804
452	1491	1800
453	1494	1796
454	1496	1792
455	1508	1799
456	1511	1795
457	1514	1792
458	1516	1787
459	1519	1783
460	1522	1779
461	1524	1775
462	1527	1771
463	1530	1768
464	1533	1764
465	1536	1760
466	1539	1756
467	1542	1753
468	1545	1749
469	1548	1745
470	1551	1742
471	1554	1738
472	1557	1735
473	1560	1731
474	1563	1727
475	1566	1724
476	1569	1720
477	1572	1716
478	1575	1713
479	1577	1709
480	1580	1705
481	1584	1702
482	1587	1699
483	1590	1695
484	1592	1691
485	1595	1687
486	1607	1693
487	1610	1689
488	1613	1686
489	1616	1682
490	1619	1678
491	1622	1674
492	1625	1671
493	1628	1667
494	1631	1664
495	1633	1660
496	1636	1656
497	1639	1652
498	1642	1649
499	1645	1645
500	1648	1641
501	1651	1638
502	1654	1634
503	1657	1631
504	1660	1627
505	1663	1623
506	1665	1619
507	1668	1616
508	1671	1612
509	1673	1608
510	1676	1604
511	1679	1600
512	1682	1596
513	1684	1593
514	1687	1589
515	1690	1585
516	1704	1592
517	1707	1588
518	1709	1584
519	1712	1580
520	1715	1576
521	1718	1573
522	1720	1569
523	1723	1565
524	1726	1561
525	1729	1558
526	1731	1554
527	1734	1550
528	1737	1547
529	1740	1543
530	1743	1540
531	1746	1536
532	1749	1532
533	1752	1529
534	1755	1525
535	1758	1521
536	1760	1518
537	1763	1514
538	1766	1511
539	1769	1507
540	1772	1503
541	1774	1499
542	1777	1495
543	1780	1492
544	1783	1488
545	1785	1484
546	1788	1481
547	1803	1487
548	1806	1483
549	1809	1480
550	1812	1476
551	1815	1473
552	1818	1469
553	1820	1465
554	1823	1462
555	1826	1458
556	1829	1455
557	1832	1451
558	1835	1448
559	1838	1444
560	1841	1440
561	1844	1437
562	1847	1433
563	1849	1430
564	1852	1426
565	1855	1422
566	1858	1419
567	1861	1415
568	1864	1412
569	1867	1408
570	1869	1404
571	1872	1401
572	1875	1397
573	1877	1393
574	1881	1390
575	1883	1386
576	1886	1383
577	1889	1379
578	1902	1383
579	1905	1379
580	1907	1375
581	1910	1372
582	1913	1368
583	1916	1365
584	1919	1361
585	1922	1357
586	1924	1354
587	1927	1350
588	1930	1346
589	1932	1343
590	1935	1339
591	1939	1336
592	1942	1333
593	1945	1329
594	1948	1326
595	1951	1322
596	1954	1319
597	1957	1315
598	1960	1312
599	1963	1309
600	1966	1305
601	1969	1302
602	1972	1298
603	1975	1295
604	1978	1291
605	1981	1288
606	1984	1285
607	1988	1281
608	1997	1282
609	2000	1279
610	2003	1275
611	2006	1271
612	2008	1268
613	2011	1264
614	2014	1261
615	2017	1257
616	2019	1253
617	2022	1250
618	2025	1246
619	2027	1242
620	2030	1239
621	2033	1235
622	2035	1231
623	2038	1228
624	2040	1224
625	2043	1221
626	2046	1217
627	2049	1213
628	2052	1210
629	2054	1206
630	2057	1203
631	2060	1199
632	2063	1196
633	2066	1192
634	2069	1189
635	2072	1186
636	2075	1182
637	2077	1179
638	2080	1175
639	2083	1172
640	2086	1168
641	2097	1169
642	2100	1166
643	2103	1163
644	2106	1159
645	2109	1155
646	2112	1152
647	2115	1148
648	2117	1145
649	2120	1142
650	2123	1138
651	2127	1135
652	2130	1131
653	2133	1128
654	2136	1125
655	2139	1121
656	2142	1118
657	2144	1114
658	2147	1111
659	2150	1107
660	2153	1104
661	2156	1100
662	2159	1097
663	2161	1094
664	2164	1090
665	2167	1086
666	2170	1083
667	2172	1079
668	2175	1076
669	2178	1073
670	2181	1069
671	2184	1066
672	2187	1062
673	2195	1061
674	2198	1058
675	2201	1054
676	2204	1051
677	2207	1048
678	2210	1044
679	2212	1041
680	2215	1037
681	2218	1034
682	2221	1031
683	2224	1027
684	2227	1024
685	2230	1020
686	2232	1017
687	2235	1013
688	2238	1010
689	2241	1006
690	2243	1003
691	2246	999
692	2249	996
693	2251	992
694	2254	989
695	2258	986
696	2260	982
697	2263	979
698	2266	975
699	2268	972
700	2271	968
701	2274	965
702	2277	961
703	2279	958
704	2282	955
705	2285	951
706	2293	950
707	2296	946
708	2299	943
709	2302	940
710	2305	937
711	2308	933
712	2311	930
713	2314	927
714	2317	923
715	2320	920
716	2323	917
717	2326	913
718	2329	910
719	2332	907
720	2335	903
721	2338	900
722	2340	896
723	2343	893
724	2346	889
725	2348	886
726	2351	882
727	2354	879
728	2356	876
729	2359	872
730	2362	869
731	2364	865
